0,	0,	20,
0.000363636363636364,	0.0363636363636364,	20,
0.00163636363636364,	0.0909090909090909,	20,
0.00418181818181818,	0.163636363636364,	20,
0.00836363636363636,	0.254545454545455,	20,
0.0145454545454545,	0.363636363636364,	20,
0.0230909090909091,	0.490909090909091,	20,
0.0343636363636364,	0.636363636363636,	20,
0.0487272727272727,	0.8,	20,
0.0665454545454545,	0.981818181818182,	20,
0.0881818181818182,	1.18181818181818,	20,
0.113818181818182,	1.38181818181818,	20,
0.143454545454545,	1.58181818181818,	20,
0.177090909090909,	1.78181818181818,	20,
0.214727272727273,	1.98181818181818,	20,
0.256363636363636,	2.18181818181818,	20,
0.302,	2.38181818181818,	20,
0.351636363636364,	2.58181818181818,	20,
0.405272727272727,	2.78181818181818,	20,
0.462909090909091,	2.98181818181818,	20,
0.524545454545455,	3.18181818181818,	20,
0.589818181818182,	3.34545454545455,	20,
0.658181818181818,	3.49090909090909,	20,
0.729272727272727,	3.61818181818182,	20,
0.802727272727273,	3.72727272727273,	20,
0.878181818181818,	3.81818181818182,	20,
0.955272727272727,	3.89090909090909,	20,
1.03363636363636,	3.94545454545455,	20,
1.11290909090909,	3.98181818181818,	20,
1.19272727272727,	4,	20,
1.27272727272727,	4,	20,
1.35272727272727,	4,	20,
1.43272727272727,	4,	20,
1.51272727272727,	4,	20,
1.59272727272727,	4,	20,
1.67272727272727,	4,	20,
1.75272727272727,	4,	20,
1.83272727272727,	4,	20,
1.91272727272727,	4,	20,
1.99272727272727,	4,	20,
2.07272727272727,	4,	20,
2.15272727272727,	4,	20,
2.23272727272727,	4,	20,
2.31272727272727,	4,	20,
2.39272727272727,	4,	20,
2.47272727272727,	4,	20,
2.55272727272727,	4,	20,
2.63272727272727,	4,	20,
2.71272727272727,	4,	20,
2.79272727272727,	4,	20,
2.87272727272727,	4,	20,
2.95272727272727,	4,	20,
3.03272727272727,	4,	20,
3.11272727272727,	4,	20,
3.19272727272727,	4,	20,
3.27272727272727,	4,	20,
3.35272727272727,	4,	20,
3.43272727272727,	4,	20,
3.51272727272727,	4,	20,
3.59272727272727,	4,	20,
3.67272727272728,	4,	20,
3.75272727272728,	4,	20,
3.83272727272728,	4,	20,
3.91272727272728,	4,	20,
3.99272727272728,	4,	20,
4.07272727272727,	4,	20,
4.15272727272728,	4,	20,
4.23272727272728,	4,	20,
4.31272727272728,	4,	20,
4.39272727272728,	4,	20,
4.47272727272728,	4,	20,
4.55272727272728,	4,	20,
4.63272727272728,	4,	20,
4.71272727272728,	4,	20,
4.79272727272728,	4,	20,
4.87272727272728,	4,	20,
4.95272727272728,	4,	20,
5.03272727272728,	4,	20,
5.11272727272728,	4,	20,
5.19272727272728,	4,	20,
5.27272727272728,	4,	20,
5.35272727272728,	4,	20,
5.43272727272728,	4,	20,
5.51272727272728,	4,	20,
5.59272727272728,	4,	20,
5.67272727272728,	4,	20,
5.75272727272728,	4,	20,
5.83272727272728,	4,	20,
5.91272727272728,	4,	20,
5.99272727272728,	4,	20,
6.07272727272728,	4,	20,
6.15272727272728,	4,	20,
6.23272727272728,	4,	20,
6.31272727272728,	4,	20,
6.39272727272728,	4,	20,
6.47272727272728,	4,	20,
6.55272727272728,	4,	20,
6.63272727272728,	4,	20,
6.71272727272728,	4,	20,
6.79272727272728,	4,	20,
6.87272727272728,	4,	20,
6.95272727272728,	4,	20,
7.03272727272728,	4,	20,
7.11272727272728,	4,	20,
7.19272727272728,	4,	20,
7.27272727272728,	4,	20,
7.35272727272728,	4,	20,
7.43272727272728,	4,	20,
7.51272727272728,	4,	20,
7.59272727272728,	4,	20,
7.67272727272728,	4,	20,
7.75272727272728,	4,	20,
7.83272727272728,	4,	20,
7.91272727272728,	4,	20,
7.99272727272728,	4,	20,
8.07272727272728,	4,	20,
8.15272727272728,	4,	20,
8.23272727272728,	4,	20,
8.31272727272728,	4,	20,
8.39272727272728,	4,	20,
8.47272727272728,	4,	20,
8.55272727272728,	4,	20,
8.63272727272728,	4,	20,
8.71272727272728,	4,	20,
8.79272727272728,	4,	20,
8.87272727272728,	4,	20,
8.95236363636364,	3.96363636363636,	20,
9.03109090909092,	3.90909090909091,	20,
9.10854545454546,	3.83636363636364,	20,
9.18436363636364,	3.74545454545455,	20,
9.25818181818182,	3.63636363636364,	20,
9.32963636363637,	3.50909090909091,	20,
9.39836363636364,	3.36363636363636,	20,
9.464,	3.2,	20,
9.52618181818182,	3.01818181818182,	20,
9.58454545454546,	2.81818181818182,	20,
9.63890909090909,	2.61818181818182,	20,
9.68927272727273,	2.41818181818182,	20,
9.73563636363637,	2.21818181818182,	20,
9.778,	2.01818181818182,	20,
9.81636363636364,	1.81818181818182,	20,
9.85072727272727,	1.61818181818182,	20,
9.88109090909091,	1.41818181818182,	20,
9.90745454545455,	1.21818181818182,	20,
9.92981818181818,	1.01818181818182,	20,
9.94818181818182,	0.818181818181817,	20,
9.96290909090909,	0.654545454545454,	20,
9.97454545454545,	0.509090909090908,	20,
9.98345454545455,	0.381818181818181,	20,
9.99,	0.272727272727272,	20,
9.99454545454545,	0.181818181818181,	20,
9.99745454545454,	0.109090909090909,	20,
9.99909090909091,	0.0545454545454543,	20,
9.99981818181818,	0.0181818181818181,	20,
10,	0,	20,